Title,English Title,URL,Score,Genre,Season,Studio,Description
Sasaki to Miyano Movie: Sotsugyou-hen,,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen,7.54,"Boys Love,Otaku Culture,School",,Studio Deen,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
SSSS.Gridman Movie,,https://myanimelist.net/anime/53850/SSSSGridman_Movie,6.76,"Action,Sci-Fi,Mecha",,Trigger,Compilation film of 
Blue Giant,,https://myanimelist.net/anime/50183/Blue_Giant,7.59,"Music,Seinen",,Nut,"""I will definitely become the world's best Jazz player!"""
Aoharu Snatch,,https://myanimelist.net/anime/52752/Aoharu_Snatch,5.77,Hentai,,Blue bread,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Gridman Universe,,https://myanimelist.net/anime/50587/Gridman_Universe,7.32,"Action,Sci-Fi,Mecha",,Trigger,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Yari Agari,,https://myanimelist.net/anime/53506/Yari_Agari,6.13,Hentai,,Nur,"Ichika, Shinji and Serina, best friends since childhood, they were always together until one strange incident caused their friendship to fall into oblivion. At the school where they all attended, a collective, headed by Serina, was formed with a single purpose - to bully Ichika. Ichika, still believing in their past friendship, hoped that their former relationship could be restored, so she endured all the humiliation and insults from her former friends, but the bullying went on and on... Ichika, whose patience had finally come to an end, decided to find a way to make her situation better. Soon, the young girl receives a video recording from the camera that was installed in Serina's room, from an unknown person. How is she going to use this gift of fate now? Will she come up with a plan to rekindle her friendship or to take revenge for all she has had to endure all this time..."
Koumi-jima Shuu 7 de Umeru Mesu-tachi,,https://myanimelist.net/anime/55691/Koumi-jima_Shuu_7_de_Umeru_Mesu-tachi,6.19,"Hentai,Harem",,Seven,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Goblin no Suana,,https://myanimelist.net/anime/54015/Goblin_no_Suana,5.55,"Fantasy,Hentai",,Majin,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
"Kimetsu no Yaiba: Jougen Shuuketsu, Soshite Katanakaji no Sato e",Demon Slayer: Kimetsu no Yaiba - To the Swordsmith Village,https://myanimelist.net/anime/54591/Kimetsu_no_Yaiba__Jougen_Shuuketsu_Soshite_Katanakaji_no_Sato_e,7.64,"Action,Fantasy,Historical,Shounen",,ufotable,"A feature-length cut of episodes 10 and 11 of Yuukaku-hen (Entertainment District Arc), and the extended episode 1 of Katanakaji no Sato-hen (Swordsmith Village Arc)."
Majo wa Kekkyoku Sono Kyaku to... The Animation,,https://myanimelist.net/anime/53724/Majo_wa_Kekkyoku_Sono_Kyaku_to_The_Animation,6.77,Hentai,,Studio 1st,"A young lady fortuneteller is having to work hard to make ends meet. One day, she is visited by a young man whom has seen in visions of an embarrassing nature. Her foresight has not been wrong yet."
Futei with... The Animation,,https://myanimelist.net/anime/53946/Futei_with_The_Animation,6.39,Hentai,,Seven,"Away from the hustle and bustle of their homes, married women Kaoru and Satsuki come to a hot spring trip alone. When they are having fun together, they are picked up by the charlatan corps and end up drinking together. When she wakes up drunk, her ripe body is being toyed with and fucked. The body that was forcibly returned to the woman with no resistance is in her room and the bathhouse. She is squid all day long and continues to be seeded and depraved."
Class de Otoko wa Boku Ichinin!?,,https://myanimelist.net/anime/53725/Class_de_Otoko_wa_Boku_Ichinin,7.19,Hentai,,T-Rex,"Machida-kun is a young man who was transferred to a school where, until last year, only girls studied. And to his bad luck he is still the only boy in his class. And maybe this will disturb your concentration on studies a lot..."
Bonyuu-chan wa Dashitai.,,https://myanimelist.net/anime/53677/Bonyuu-chan_wa_Dashitai,7.13,Hentai,,T-Rex,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Otogibanashi no Onigokko,,https://myanimelist.net/anime/53492/Otogibanashi_no_Onigokko,5.97,"Fantasy,Hentai",,Majin,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ikumonogakari The Animation,,https://myanimelist.net/anime/53678/Ikumonogakari_The_Animation,6.56,Hentai,,Blue bread,"Japan was engulfed in a demographic crisis, forcing the government to implement the ""Ikumonogakari"" law, which permitted promiscuous sexual interactions among the people. They started doing practical and pedagogical activities on the lessons of sexual life and a partner's sexual fulfillment. The protagonists are young and inexperienced, so practical exercises will help them to improve their skills."
Imouto wa Gal Kawaii,,https://myanimelist.net/anime/53702/Imouto_wa_Gal_Kawaii,6.77,Hentai,,New Generation,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
3Piece The Animation,,https://myanimelist.net/anime/53425/3Piece_The_Animation,6.48,Hentai,,Studio 1st,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Nico/Agony,,https://myanimelist.net/anime/55299/Nico_Agony,N/A,"Supernatural,Music",,Usagi Ou,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Dongzhi Yinghao Yan,,https://myanimelist.net/anime/54546/Dongzhi_Yinghao_Yan,N/A,,,Steamworks,Short commercials for China's largest retailer Jing Dong.
Otaku-chans,,https://myanimelist.net/anime/54919/Otaku-chans,N/A,"Comedy,Anthropomorphic,Idols (Female)",,,A short anime made exclusively for the social media platform. Titled 
Tsuru ga Mau Yoru ni,,https://myanimelist.net/anime/55302/Tsuru_ga_Mau_Yoru_ni,N/A,Fantasy,,pH Studio,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Moshi Meta: Moshi Joshikousei ga Metaverse de Miko ni Nattara,,https://myanimelist.net/anime/55301/Moshi_Meta__Moshi_Joshikousei_ga_Metaverse_de_Miko_ni_Nattara,N/A,"Sci-Fi,Time Travel,Video Game",,Studio Elle,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
FIFA,,https://myanimelist.net/anime/54547/FIFA,N/A,"Sports,Team Sports",,Steamworks,Football stars from all over the world pass the ball to each other and finally get together to celebrate the Chinese New Year.
Goodme: Citron Tea,,https://myanimelist.net/anime/54545/Goodme__Citron_Tea,N/A,Avant Garde,,Steamworks,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Wander Burabura Bakkamu,,https://myanimelist.net/anime/55300/Wander_Burabura_Bakkamu,N/A,"Drama,Sci-Fi",,Echoes,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Chan Chiho Challenge Channel,,https://myanimelist.net/anime/54434/Chan_Chiho_Challenge_Channel,N/A,"Comedy,Kids",,Pie in the sky,"Video distributor Chan Chiho delivers various challenges related to Pokemon ""Chan Chiho Challenge Channel."""
Wei Jiang,Dimension Will,https://myanimelist.net/anime/55196/Wei_Jiang,N/A,"Action,Fantasy",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Soushoku Dragon Chokotto,,https://myanimelist.net/anime/54684/Soushoku_Dragon_Chokotto,N/A,"Adventure,Comedy,Fantasy",,Starry Cube,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Sanguo Yanyi 3rd Season,Romance of the Three Kingdoms 3rd Season,https://myanimelist.net/anime/52735/Sanguo_Yanyi_3rd_Season,N/A,"Action,Drama,Fantasy,Historical,Martial Arts",,Yinhe Changxing Culture,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ao no Orchestra: 5-bu de Tanoshii Classic,,https://myanimelist.net/anime/54771/Ao_no_Orchestra__5-bu_de_Tanoshii_Classic,N/A,Music,,AQUA ARIS, shorts that aired on NHK prior to and alongside the main series.
W.O.L.F. (Win Or Lose Fight) PV,,https://myanimelist.net/anime/55345/WOLF_Win_Or_Lose_Fight_PV,N/A,"Mystery,Supernatural,Delinquents,Music,Vampire",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Fangkemeng: Bu Yuan Zhi Dao de Fangxing Baokemeng?!,Cube-Shaped Pokémon on Cubie Island?!,https://myanimelist.net/anime/54648/Fangkemeng__Bu_Yuan_Zhi_Dao_de_Fangxing_Baokemeng,N/A,"Action,Adventure,Comedy,Fantasy,Kids",,,A short anime series based on the game 
Wo Shi Xuexiao Weiyi de Renlei,,https://myanimelist.net/anime/54224/Wo_Shi_Xuexiao_Weiyi_de_Renlei,N/A,Comedy,,MMT Technology,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Hidari Pilot Film,,https://myanimelist.net/anime/55191/Hidari_Pilot_Film,6.91,"Action,Historical,Samurai",,dwarf,Pilot film released on the HIDORI official channel to garner interest for the Kickstarter of the upcoming 
Zhege Nianji Huan Neng Dang Daxia Ma,,https://myanimelist.net/anime/53382/Zhege_Nianji_Huan_Neng_Dang_Daxia_Ma,N/A,Comedy,,Painting Dream,"After the Lao Bai left the big city, he returned to his hometown Chang'an with Yanzi (Yanshan Xue) to live. While working hard to run a Chang'an supermarket for their former heroic dreams, they met community neighbors: A Meng, A Hun, Long Zi, Xiao Man, Long Shu, You You, and Xiao Wu."
Azur Lane Valentine Special Mission,,https://myanimelist.net/anime/55365/Azur_Lane_Valentine_Special_Mission,6.09,"Gourmet,Slice of Life",,ARCUS,"Commander, Essex and Enterprise have prepared some chocolate for you~ Have a bite of chocolate, it melts softly like a tender kiss~ Happy Valentine's Day!"
Tong Meng Zhi Lu,Pokémon: Journey of Dreams,https://myanimelist.net/anime/54646/Tong_Meng_Zhi_Lu,N/A,"Action,Adventure,Fantasy,Kids",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Bakugan: Legends,,https://myanimelist.net/anime/54637/Bakugan__Legends,N/A,"Action,Fantasy,Strategy Game",,TMS Entertainment, is the fifth season of the 
Fanren Xiu Xian Chuan: Chongzhi Ban,,https://myanimelist.net/anime/54444/Fanren_Xiu_Xian_Chuan__Chongzhi_Ban,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,Original Force,Remaster of the first season of 
Shitasaki kara Koi,Love from the Tip of the Tongue,https://myanimelist.net/anime/54692/Shitasaki_kara_Koi,6.02,"Boys Love,Comedy",,AQUA ARIS,"The story revolves around the ""cakeverse,"" in which people are categorized as ""forks"" and ""cakes."" Tatsunari is a ""fork,"" who has lost his taste for people, except for ""cakes."" Naruya is a ""cake,"" who is specifically scrumptious for ""forks."""
Space Idol,,https://myanimelist.net/anime/53857/Space_Idol,N/A,"Sci-Fi,Slice of Life,Idols (Female),Space",,Kenji Studio,"An original short anime depicting four girls who belong to the idol group ""Uchu Seifuku"" who are active in space. The short anime will be distributed on DMM TV. "
Hua Jianghu: Bu Liang Ren VI,,https://myanimelist.net/anime/51897/Hua_Jianghu__Bu_Liang_Ren_VI,N/A,"Action,Drama,Fantasy,Romance,Historical,Martial Arts",,Rocen,Sixth season of 
Bai Lian Feisheng Lu,Hundred Refining Soaring Record,https://myanimelist.net/anime/54737/Bai_Lian_Feisheng_Lu,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,Soyep,"Qin Fengming, a teenager in the mountain village, ate nine leaves of Yin and Yang fruit by mistake, so he stepped onto the road of cultivating truth, refining artifacts, collecting magic weapons, and protecting the right path! Qin Fengming, with his great talent and unremitting persistence, traveled alone in the thorny world of cultivating immortals, and with the help of the mysterious little beauty Milo, he made a generation of Taoist legends!"
Xi Xing Ji: Anying Mo Cheng,The Westward: The Kingdom of Shadow,https://myanimelist.net/anime/54033/Xi_Xing_Ji__Anying_Mo_Cheng,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,BYMENT,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Li Linke de Xiao Guaner 2nd Season,The Dining of Link Lee 2nd Season,https://myanimelist.net/anime/54014/Li_Linke_de_Xiao_Guaner_2nd_Season,7.25,"Gourmet,Slice of Life,Workplace",,Delight Animation,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Fei Ren Zai 2nd Season Part 2,,https://myanimelist.net/anime/54061/Fei_Ren_Zai_2nd_Season_Part_2,N/A,"Comedy,Supernatural,Mythology",,Fenz,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Dan Dao Zongshi,,https://myanimelist.net/anime/54631/Dan_Dao_Zongshi,6.48,"Action,Fantasy",,Quyue Technology,"In the previous life, although Qin Yichen, the sage of alchemy, possessed the most alchemy technique in the mainland and was famous all over the world, but because of his mediocre martial arts attainments, he could only watch helplessly as his enemy Ouyang Haotian snatched the martial soul of his lover Feng Qianxue, and in front of his eyes Kill Feng Qianxue and his brother Tantai Shuo."
Guan Miao Shenmeshi,My Cat Hates Me,https://myanimelist.net/anime/54018/Guan_Miao_Shenmeshi,6.65,"Comedy,Pets",,,"A cartoonist teenager who is running out of inspiration on his creative journey inadvertently adopts two pets when he goes out in search of inspiration. The cat is named Emperor and the dog is named Bazaar Black. Although the two little guys often caused him a lot of trouble, they also gained two pieces of companionship and love. Although they are a cat and a dog, the teenager knows that they are family. And so, the teenager's noisy but warm and happy life began."
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,The Land of Miracles 2nd Season,https://myanimelist.net/anime/53367/Shen_Lan_Qi_Yu_Wushuang_Zhu__Tianmo_Pian,7.25,"Action,Fantasy",,CG Year,The second season of 
Twisted-Wonderland 3-shuunen Kinen PV,Twisted-Wonderland 3rd Anniversary PV,https://myanimelist.net/anime/54745/Twisted-Wonderland_3-shuunen_Kinen_PV,6.44,"Supernatural,Music",,CloverWorks,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Bing Zhu Qi Hun Part 2,The Soul of Soldier Master Part 2,https://myanimelist.net/anime/54261/Bing_Zhu_Qi_Hun_Part_2,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts,Mythology",,HuaDream,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Fuyu no Okurimono,,https://myanimelist.net/anime/54767/Fuyu_no_Okurimono,6.55,Fantasy,,Wit Studio,The original short animation depicts the growth of a girl and her encounter with a mysterious creature.
