Title,English Title,URL,Score,Genre,Season,Studio,Description
Neko to Wakai se na,,https://myanimelist.net/anime/54809/Neko_to_Wakai_se_na,5.96,Slice of Life,,,The music film is a part of TOHO animation's 10th anniversary project.
Jiuzhou Piaomiao Lu,Novoland Eagle Flag,https://myanimelist.net/anime/51207/Jiuzhou_Piaomiao_Lu,N/A,"Action,Drama,Fantasy",,BYMENT,"In the vast desert grasslands of northern Novoland, there was a nomadic society that cherished martial arts, believed in the god Pandeng and worshiped heroes. The men there were all hot-blooded and the women were all strong-willed. Their kingdom was called Qingyang."
Wu Geng Ji 4th Season Part 2,,https://myanimelist.net/anime/52680/Wu_Geng_Ji_4th_Season_Part_2,6.61,"Action,Fantasy,Supernatural,Historical,Martial Arts",,,Part 2 of 
Himitsu no Hana no Niwa,Nana's Secret Garden,https://myanimelist.net/anime/54725/Himitsu_no_Hana_no_Niwa,6.71,"Drama,Fantasy",,,The music film is a part of TOHO animation's 10th anniversary project.
Jian Yu Feng Yun 2nd Season,The Legend of Sword Domain 2nd Season,https://myanimelist.net/anime/54124/Jian_Yu_Feng_Yun_2nd_Season,6.6,"Action,Adventure,Fantasy,Historical,Martial Arts",,Ruo Hong Culture,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Xian Wu Chuan,Legend of Xianwu,https://myanimelist.net/anime/52522/Xian_Wu_Chuan,6.71,"Action,Adventure,Fantasy,Historical,Martial Arts",,Xiaoming Taiji,"As a loyal disciple, Ye Chen dedicated himself to guard the spiritual medicine field for his sect. But, during a fight with enemies, the spiritual field was destroyed. His loyalty and dedicating to the sect could not save him. The loyalty he thought he had obtained from his peers and lover, could not save him from betrayal. Thus, he was shamelessly banished from the sect. With the help of a flame falling from heaven, Ye Chen began to develop himself into a stronger cultivator. Battled against his opponents, unfolded his legendary life and rewrote his own story..."
Lian Qi Shi Wan Nian,One Hundred Thousand Years of Qi Refining,https://myanimelist.net/anime/54437/Lian_Qi_Shi_Wan_Nian,7.09,"Action,Adventure,Fantasy,Historical,Martial Arts",,Soyep,"One hundred thousand years ago, he was the founding disciple of the Tianlan Sect, his master ascended to the top, and he was refining Qi. Ninety thousand years ago, his martial nephew ascended, and he was refining Qi. Fifty thousand years ago, the old dog who was the gatekeeper of Tianlanzong also ascended, and he was still refining Qi. Thirty thousand years ago, the old tree at the foot of the mountain also became a demon, and he was still refining Qi before he could pass the catastrophe. Ten thousand years ago, Zhang Wuji, the 9872nd generation disciple of Tianlanzong, also ascended, and Xu Yang silently refined Qi. He retreated for 10,000 years, and finally, he broke through the 9999th floor of the Qi refining period! Ten thousand years later, he broke through and came out!"
Detarame na Sekai no Melodrama,,https://myanimelist.net/anime/54810/Detarame_na_Sekai_no_Melodrama,6.21,"Drama,Performing Arts",,TOHO animation STUDIO,The music film is a part of TOHO animation's 10th anniversary project.
Jintian Kaishi Shanyao Dengchang,Super Star Season 2,https://myanimelist.net/anime/41503/Jintian_Kaishi_Shanyao_Dengchang,N/A,"Comedy,Crossdressing,Music",,ASK Animation Studio,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Bio Sekai Meisaku Gekijou,Resident Evil Masterpiece Theater,https://myanimelist.net/anime/54782/Bio_Sekai_Meisaku_Gekijou,6.72,"Comedy,Horror,Video Game",,Nippon Animation,Short animations based on the plot of Biohazard/Resident Evil 4 in the style of Nippon Animation's classic World Masterpiece Theater series posted to the official YouTube to promote the 2023 game release.
Shixiong A Shixiong,My Senior Brother Is Too Steady,https://myanimelist.net/anime/54123/Shixiong_A_Shixiong,7.46,"Action,Adventure,Fantasy,Historical,Martial Arts",,Sparkly Key Animation Studio,"After being reborn in ancient times before the Great God-Conferment War, Li Changshou became a small cultivator."
Wo Jia Da Shixiong You Dian Kaopu,What's Wrong with My Big Brother,https://myanimelist.net/anime/50400/Wo_Jia_Da_Shixiong_You_Dian_Kaopu,6.8,"Action,Adventure,Comedy,Historical,Martial Arts",,,Third season of 
Li Shi Zhentan Shiwusuo: A Day in Lungmen - Once Upon a Time in Lungmen,Lee's Detective Agency: Once Upon a Time in Lungmen,https://myanimelist.net/anime/54340/Li_Shi_Zhentan_Shiwusuo__A_Day_in_Lungmen_-_Once_Upon_a_Time_in_Lungmen,5.71,"Comedy,Mystery,Anthropomorphic,Detective",,Gravity Well,Originium slugs have ruined a good crop. The Feline and Zalak thus parted their ways.
Zhongguo Qi Tan,Yao-Chinese Folktales,https://myanimelist.net/anime/53919/Zhongguo_Qi_Tan,6.61,Fantasy,,Shanghai Animation Film Studio,"A collection of eight short stories about Chinese folklore ""monsters."""
Wo Jian Qile Yi Di Shuxing,,https://myanimelist.net/anime/51383/Wo_Jian_Qile_Yi_Di_Shuxing,6.44,"Action,Adventure,Fantasy",,Foch Films,"Feng Xia, a completely hardworking game player, travels through time and space. With his power, attributes, and strategies learned from the games he played before, he can beat his enemies and get their Light Masses of Attributes. Besides, he also meets all kinds of beauties along his way... His enemies laugh: ""My martial arts are invincible!"" Feng Xia just beats them and absorbs their Light Masses. ""Indeed. But sorry, it's my martial arts now!"""
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime,Chillin' in My 30s after Getting Fired from the Demon King's Army Mini Anime,https://myanimelist.net/anime/54084/Kaiko_sareta_Ankoku_Heishi_30-dai_no_Slow_na_Second_Life_Mini_Anime,5.84,"Comedy,Fantasy",,AQUA ARIS,Mini anime for 
Tentai Kansoku,,https://myanimelist.net/anime/54009/Tentai_Kansoku,6.64,"Slice of Life,Supernatural,School",,Flat Studio,The music film is a part of TOHO animation's 10th anniversary project.
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime Episode 0,Chillin' in My 30s after Getting Fired from the Demon King's Army Mini Anime Episode 0,https://myanimelist.net/anime/55004/Kaiko_sareta_Ankoku_Heishi_30-dai_no_Slow_na_Second_Life_Mini_Anime_Episode_0,5.74,"Comedy,Fantasy",,AQUA ARIS,Episode 0 of the mini anime for 
Kuromi's Pretty Journey,,https://myanimelist.net/anime/54535/Kuromis_Pretty_Journey,6.42,"Comedy,Fantasy",,Qzil.la,Kuromi from 
Watashi no Hashtag ga Haenakute.,My Hashtag Does Not Shine,https://myanimelist.net/anime/54278/Watashi_no_Hashtag_ga_Haenakute,6.05,School,,Bandai Namco Filmworks,"The story is set in a 'smart city' envisioned by Kyocera, where people express themselves through hashtags on overhead displays."
Yuanshen: Hai Dengjie CM Duanpian - Ming Xiao Huanmeng,Genshin Impact: Lantern Rite PV - Dream Upon a Lantern,https://myanimelist.net/anime/54312/Yuanshen__Hai_Dengjie_CM_Duanpian_-_Ming_Xiao_Huanmeng,7.41,"Fantasy,Isekai,Mythology",,,Animated commercial promoting the release of the 2023 Lantern Rite update for 
Inu to Shounen,The Dog and the Boy,https://myanimelist.net/anime/54357/Inu_to_Shounen,5.59,"Sci-Fi,Survival",,Wit Studio,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Yao Shen Ji 6th Season,Tales of Demons and Gods Season 6,https://myanimelist.net/anime/54285/Yao_Shen_Ji_6th_Season,7.43,"Action,Adventure,Fantasy,Romance,Martial Arts,Mythology",,Ruo Hong Culture,Sixth season of 
Yoru wa Neko to Issho Season 2,Nights with a Cat Season 2,https://myanimelist.net/anime/54198/Yoru_wa_Neko_to_Issho_Season_2,6.94,"Comedy,Pets",,Studio PuYUKAI,Second season of 
Petit Cool Doji Danshi no Hitokoma,,https://myanimelist.net/anime/54718/Petit_Cool_Doji_Danshi_no_Hitokoma,6.23,"Slice of Life,Iyashikei",,AQUA ARIS,Mini anime of 
"Ijiranaide, Nagatoro-san 2nd Attack Mini Anime","Don't Toy with Me, Miss Nagatoro 2nd Attack Mini Anime",https://myanimelist.net/anime/54133/Ijiranaide_Nagatoro-san_2nd_Attack_Mini_Anime,5.86,"Comedy,School",,AQUA ARIS,The mini-anime for 
COLORs,,https://myanimelist.net/anime/54005/COLORs,7.44,"Drama,Crossdressing",,Wit Studio,The music film is a part of TOHO animation's 10th anniversary project.
Toutotsu ni Egypt Shin 2,"Oh, Suddenly Egyptian God 2",https://myanimelist.net/anime/49522/Toutotsu_ni_Egypt_Shin_2,6.6,"Comedy,Fantasy,Mythology",,Typhoon Graphics,Second season of 
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,Honkai Impact 3rd Golden Courtyard: New Year Wishes in Winter,https://myanimelist.net/anime/54035/Huangjin_Tingyuan__Dongri_Li_de_Xinnian_Yuanwang,7.4,Comedy,,HuaMei Animation,"On this wintry day, I'll stay with everyone at Golden Courtyard to do adorable things and create special memories, and then we'll embrace the new year in our unique way. Haha, does this sound ceremonious? After all, I want to create more such wonderful memories with every one of you, because I love you all ♪  "
Lupin III vs. Cat's Eye,Lupin the 3rd vs Cat's Eye,https://myanimelist.net/anime/53109/Lupin_III_vs_Cats_Eye,6.52,"Action,Adventure,Comedy,Mystery,Adult Cast,Seinen",,TMS Entertainment,"Lupin III, the great phantom thief—the man who loves freedom and lives in romance—never fails to steal his prey. The Cat's Eye are the ladies who run the night splendidly and create commotion in the world. They are sometimes phantom thieves, other times three beautiful sisters who run a café."
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,Fate/Grand Order: You've Lost Ritsuka Fujimaru,https://myanimelist.net/anime/54042/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai,7.27,Comedy,,DLE,"Ritsuka Fujimaru—humanity's last master. It would not have been possible to restore humanity without him. However, he does have a shortcoming... he is far too honest! A slapstick comedy in which Fujimaru's simple questions sway the heroic spirits!"
Zuoshou Shanglan,Left-Hand Layup!,https://myanimelist.net/anime/51288/Zuoshou_Shanglan,6.89,"Sports,Team Sports",,Heart & Soul Animation,"The story follows teenager Xu Xingze, a passionate basketball player who aspires to join the Basketball Team of the regions top school after seeing their Star Player win the Final Four Tournament. When his sister accidentally enrolls him into a lesser school with a similar name, its up to Xu and his ragtag group of new friends to prove their worth and their skill on the Court against some of the top High School players in the Region.  "
Wu Liuqi: Anying Suming,Scissor Seven: Shadow Fate,https://myanimelist.net/anime/54029/Wu_Liuqi__Anying_Suming,7.88,"Action,Adventure,Comedy,Drama,Mystery,Martial Arts,Super Power",,Sharefun Studio,"The protagonist Wu Liuqi originally lived a carefree life on Xiaoji Island, but his identity became a mystery due to amnesia. As outsiders landed on the island and recognized Wu Liuqi, various conspiracies began to cover Xiaoji Island. So Wu Liuqi decided to return to Xuanwu Kingdom to meet his destiny in order to protect his partners and their homeland. "
Vinland Saga Season 2: Drowning in the Shadow,,https://myanimelist.net/anime/54463/Vinland_Saga_Season_2__Drowning_in_the_Shadow,7.47,"Action,Adventure,Drama,Gore,Historical,Seinen",,MAPPA,"Thorfinn, shown initially as he appears as a member of Askeladd's raiders, cuts down some men in the middle of a raid. When he enters a nearby house, he finds a family cowering within."
Aggressive Retsuko (ONA) 5th Season,Aggretsuko (ONA) 5th Season,https://myanimelist.net/anime/50598/Aggressive_Retsuko_ONA_5th_Season,7.47,"Comedy,Anthropomorphic,Workplace",,Fanworks,Fifth season of 
Make My Day,,https://myanimelist.net/anime/49164/Make_My_Day,5.85,"Horror,Suspense",,5 Inc.,"On a cold planet of ice and snow, mysterious creatures suddenly have appeared from the dark underground and have begun to attack the inhabitants. Can humanity survive the terror lurking beyond the horizon?"
KJ File 2nd Season,,https://myanimelist.net/anime/53231/KJ_File_2nd_Season,N/A,"Action,Sci-Fi",Winter 2023,ILCA,Sequel to 
Cardfight!! Vanguard: will+Dress Season 2,,https://myanimelist.net/anime/49820/Cardfight_Vanguard__will_Dress_Season_2,6.75,"Action,Strategy Game",Winter 2023,Kinema Citrus,Second season of 
Itou Junji: Maniac,Junji Ito Maniac: Japanese Tales of the Macabre,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,6.59,"Horror,Supernatural,Seinen",,Studio Deen,"The anime series will adapt 20 stories from a number of Itou's manga for the first time, including Tomie, Souichi, and Kubitsuri Kikyuu (The Hanging Balloons)."
Gokushufudou Season 2,The Way of the Househusband Season 2,https://myanimelist.net/anime/53148/Gokushufudou_Season_2,7.56,"Comedy,Adult Cast,Gag Humor,Organized Crime",,J.C.Staff,"With a wicked scar on his face, a terrifying gaze, and an apron adorned with a teddy bear, ex-yakuza member Tatsu proudly assumes the role of a full-time househusband. Already familiar with the regular challenges of grocery shopping, Tatsu now takes it to the next level by joining a women's organization—but acceptance is not easily achieved without first mastering the elegance of flower arranging and housekeeping."
Flaglia: Natsuyasumi no Monogatari,,https://myanimelist.net/anime/53424/Flaglia__Natsuyasumi_no_Monogatari,5.35,Fantasy,Winter 2023,Gaina,"Iko, a third grader, lives with his four older brothers in an old house in Tateyama. Iko's family has no parents, and according to his older brothers, their mother works in Tokyo. Despite being a bit eccentric, Iko loves his brothers, who take good care of him, but they have a secret: they are wizards who live almost forever... The story unfolds of a family's summer vacation in a seaside town, happily living together while being caught up in the world of wizards."
Shuumatsu no Walküre II,Record of Ragnarok II,https://myanimelist.net/anime/49618/Shuumatsu_no_Walk%C3%BCre_II,7.52,"Action,Drama,Fantasy,Mythology,Seinen",,Yumeta Company,"In a shocking turn of events, humanity has won its first battle in the Ragnarök tournament—a series of 13 fights that will decide the fate of mankind. Zeus, the head of gods, sends the demigod Heracles for the next round to avenge the humiliated Greek pantheon. To face this hero loved by gods and humans alike, the Valkyrie Brunhilde decides to use Heracles' complete moral opposite: the infamous serial killer Jack the Ripper—leaving human beings unsure who they should support."
UniteUp!,,https://myanimelist.net/anime/53132/UniteUp,7.03,"Slice of Life,Idols (Male),Music",Winter 2023,CloverWorks,"Akira Kiyose, a high schooler who loves to sing, gets recruited by a talent agency called sMiLea Production. Akira learns that the legendary idols ""Anela,"" who shocked the world with their sudden retirement, are behind the agency developing talent. Together with Banri Naoe and Chihiro Isuzugawa, also recruited by the agency, they form an idol group as they chase their dream towards super stardom alongside other idol groups ""LEGIT"" and ""JAXX/JAXX."""
